word,frequency
.,28223968
de,26344608
",",17984012
van,12935140
het,12007033
een,11241478
en,10119080
in,9560219
dat,6164109
is,5997828
op,5186532
ik,4539790
te,4335557
zijn,4180175
voor,4158971
met,4115513
die,4012100
niet,3892814
),3451074
:,3430707
(,3229121
maar,2980983
"""",2814371
er,2728585
?,2689148
je,2672107
-,2637105
',2618414
aan,2577621
ook,2559105
als,2383647
om,2260102
ze,2172666
hij,2153411
,2078839
dan,1922805
nog,1857773
bij,1838454
was,1708194
naar,1611649
of,1607229
we,1580974
uit,1541912
!,1491443
door,1482415
heeft,1440710
wat,1384636
over,1368454
al,1342624
wel,1266637
tot,1225318
meer,1199788
worden,1160520
geen,1121320
hebben,1111386
kan,1070607
wordt,1067669
nu,1046644
zo,1030944
jaar,1024005
dit,969225
...,926193
zich,887187
moet,883675
mijn,881729
deze,834215
hun,826370
werd,795023
haar,769575
heb,764504
veel,742833
na,737719
zou,731632
kunnen,725984
ja,715055
tegen,686119
had,677622
daar,676797
1,674204
;,655068
toch,650336
goed,645223
zal,645102
twee,636575
dus,589275
ben,578433
wil,577677
/,575116
waar,570174
andere,562564
moeten,550124
gaan,550079
gaat,549669
eerste,549608
me,544689
mensen,542216
weer,538230
u,536914
2,522603
hier,521534
nieuwe,513373
onder,507367
doen,485832
ons,485087
hem,483433
hoe,480415
heel,466873
alleen,461309
mij,456663
toen,446083
omdat,438169
alle,429713
zegt,427081
eens,424485
onze,420918
maken,413413
tussen,401387
iets,399141
komt,395455
*,389068
uur,383337
grote,383048
wij,381935
komen,381775
zij,377661
3,374793
staat,374342
waren,371933
want,369982
'',364691
altijd,361136
mee,360803
af,358736
zoals,358514
tijd,355951
wie,354836
euro,351781
drie,349087
zelf,346851
weet,346393
volgens,341391
echt,323066
zonder,322681
:p,322008
dag,319219
the,311378
man,308342
alles,298138
keer,295277
eigen,290447
vooral,288641
..,288103
zien,287787
a,276510
leven,274142
toe,273614
tweede,273253
weg,272701
zelfs,271706
zeker,269224
laten,268990
da,268675
enkele,268021
4,266160
nooit,265861
net,264854
plaats,264744
even,264619
men,262497
willen,258983
jaren,258030
nee,256759
mag,253531
terug,250944
zullen,249892
't,247831
laatste,247031
week,245814
werden,244116
kinderen,242459
0,241892
%,241217
zeggen,240761
jij,240677
kon,239660
gewoon,238702
he,237608
staan,234347
tijdens,233108
werk,232388
5,232383
laat,231564
zit,231223
kwam,229405
krijgen,228181
binnen,224694
beter,222196
per,221681
minder,221229
land,220481
steeds,219738
anders,219022
niets,218308
vandaag,217936
europese,216467
zo'n,213491
blijft,213126
iedereen,212406
via,210955
aantal,210769
procent,209686
6,209615
werken,209053
ga,208674
ging,208202
samen,207309
uh,207025
blijven,206001
misschien,204309
lang,203188
verder,202749
miljoen,200779
elkaar,200427
iemand,200388
waarom,196700
nederland,195904
hadden,195471
rond,194843
denk,194399
eerst,194183
zei,194071
goede,193274
hele,191726
geven,191585
vind,190677
weten,190176
allemaal,189655
ten,188618
moest,186908
vier,186673
pas,186497
doet,185714
artikel,184945
10,183905
vraag,180630
geld,180428
],180393
geleden,179679
later,178798
erg,178016
bijna,177405
:),177298
sinds,176744
zitten,176741
wereld,176510
vrouw,176425
re,176294
natuurlijk,176094
huis,176006
zouden,175158
mogelijk,174391
houden,174201
groot,173771
vinden,173024
nodig,172604
hebt,171704
elke,171485
belgie,171032
gisteren,168861
hen,168831
maakt,168794
snel,168320
vanaf,167497
helemaal,167356
brussel,167324
uw,166745
der,166530
vaak,166456
deel,166305
achter,165577
volgende,165061
dagen,163500
[,162412
nemen,162118
geweest,162048
jullie,161714
eigenlijk,161521
echter,160976
krijgt,160821
den,160300
kreeg,160234
opnieuw,159210
zie,157930
vijf,157871
lol,157855
stad,156913
ter,156358
weinig,155785
maanden,155533
vlaamse,155457
minister,155364
ligt,155349
zeer,154011
la,151798
terwijl,151052
politie,150767
nederlandse,150177
derde,149325
7,149068
belgische,148000
amerikaanse,147371
vrouwen,146208
wanneer,145809
20,145439
vorig,144795
gemaakt,143980
kleine,143543
gedaan,143121
ge,142924
daarom,142887
duidelijk,142641
soms,142286
graag,142069
bent,141765
beetje,141021
